id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,cluster
2509,Imported Ginger Ale,,81,82,1881,1917,0.15,25.0,15
495327,Œufs brouillés Rosemonde,,1,1,1973,1973,0.0,0.0,17
295120,"Roast Rack of Lamb, Garnished with Fresh Vegetables, Bouquetiere (for Two or More) per person",,1,1,1953,1953,5.5,5.5,15
308447,"TODAY'S NEW YORKER SPECIALTY - Roast Long Island Duckling, Sage Dressing, Apple Sauce",,1,1,1944,1944,0.0,0.0,13
28902,Boiled Halibut Hollandaise Sauce,,2,2,1901,1901,0.0,0.0,19
13141,STEWED OKRA,,6,31,1900,1933,0.6,0.65,8
176554,"Sangiovese 1997, Showket (Napa)",,1,1,2000,2000,89.0,89.0,6
109125,"Pigeonneaux Grilles, Salade de Laitue",,1,0,1905,1905,0.0,0.0,5
348855,MADERE BLANDY,,2,2,1928,1938,0.0,0.0,13
339749,Filet of Matjes Herring on Lemon,,1,1,1937,1937,0.0,0.0,13
213051,"Damhirschragout mit Pilzen, Kartoffelkroketten, apfelmus, Kronsbeeren",,1,0,1971,1971,0.0,0.0,24
498402,"Saute of Chicken Giblets, Spanish Rice, Sweet Potatoes",,1,1,1913,1913,0.25,0.25,9
343808,"Dai Op Sam Me: Whole duck cooked in three different styles, (1) Soup, (2) Fried in Canton style, (3) In pickled sauce",,1,1,1938,1938,0.0,0.0,13
426758,Koczkalepeny,,1,1,1899,1899,,,4
413456,Regal Grand Sec,,1,1,1899,1899,,,4
53080,"Apfelsinen, ",,1,1,1901,1901,0.0,0.0,19
404065,Consomme de Boeuf en tasse,,1,1,1917,1917,0.45,0.45,8
201443,Hach. Rahm-Kartoffeln,,2,2,1910,1910,0.0,0.0,5
19884,"Fresh artichokes, Hollandaise sauce",,1,1,1900,1900,0.0,0.0,19
219784,ohne Knochen,,1,1,1978,1978,0.0,0.0,17
227419,Combination Calf's Liver and Sweetbreads Platter Saute Maison Served with Mashed Potatoes and String Beans,,1,1,1972,1972,0.0,0.0,24
7250,"Renault Brandy, 50 years old",,5,5,1900,1900,6.0,6.0,15
12097,"Consumme, per cup",,1,1,1901,1901,0.15,0.15,2
129584,Alter Nordhaeuser Korn,,1,0,1906,1906,0.0,0.0,5
